ID;event;event_number;mp;Source;lineupcat_id;event_number_old;event_number_new
2021-10-01T16:12:00-CME-001;3;43;0;-;MULTI_2021-10-01_01;74;105
ICME_SOLO_MOESTL_20211004_01;1;43;14;-;MULTI_2021-10-01_01;74;105
ICME_Wind_MOESTL_20211006_01;1;43;14;-;MULTI_2021-10-01_01;74;105
HCME_A__20211007_01;0;44;0;S20W10;MULTI_2021-10-07_01;73;104
2021-10-06T17:38:00-CME-001;3;44;0;S20W10;MULTI_2021-10-07_01;73;104
ICME_Wind_MOESTL_20211012_01;1;44;0;S20W10;MULTI_2021-10-07_01;73;104
HCME_A__20211012_01;0;45;0;N16W30;MULTI_2021-10-12_01;72;103
2021-10-12T03:24:00-CME-001;3;45;0;N16W30;MULTI_2021-10-12_01;72;103
ICME_SOLO_MOESTL_20211014_01;1;45;0;N16W30;MULTI_2021-10-12_01;72;103
HCME_A__20211019_01;0;46;0;-;MULTI_2021-10-19_01;71;102
2021-10-19T05:00:00-CME-001;3;46;0;-;MULTI_2021-10-19_01;71;102
ICME_BEPI_MOESTL_20211020_01;1;46;0;-;MULTI_2021-10-19_01;71;102
HCME_A__20211028_01;0;47;0;S26E04;MULTI_2021-10-28_01;70;101
2021-10-28T15:53:00-CME-001;3;47;0;S26E04;MULTI_2021-10-28_01;70;101
ICME_SOLO_MOESTL_20211030_01;1;47;15;S26E04;MULTI_2021-10-28_01;70;101
ICME_Wind_MOESTL_20211031_01;1;47;15;S26E04;MULTI_2021-10-28_01;70;101
HCME_A__20211101_01;0;48;0;S28W48;MULTI_2021-11-01_01;69;100
HCME_A__20211102_01;0;48;0;N17E03;MULTI_2021-11-01_01;69;100
2021-11-01T18:38:00-CME-001;3;48;0;S28W58;MULTI_2021-11-01_01;69;100
2021-11-02T02:48:00-CME-001;3;48;0;N17E03;MULTI_2021-11-01_01;69;100
ICME_SOLO_MOESTL_20211103_01;1;48;16;S28W58/N17E03;MULTI_2021-11-01_01;69;100
ICME_Wind_MOESTL_20211103_01;1;48;16;S28W58/N17E03;MULTI_2021-11-01_01;69;100
HCME_A__20211104_01;0;49;0;S26W90;MULTI_2021-11-03_01;68;99
2021-11-03T21:48:00-CME-001;3;49;0;S26W90;MULTI_2021-11-03_01;68;99
ICME_BEPI_MOESTL_20211105_01;1;49;0;S26W90;MULTI_2021-11-03_01;68;99
2021-11-07T15:05:00-CME-001;3;50;0;N20E70;MULTI_2021-11-07_01;67;98
ICME_PSP_MOESTL_20211109_01;1;50;17;N20E70;MULTI_2021-11-07_01;67;98
ICME_STEREO_A_MOESTL_20211111_01;1;50;17;N20E70;MULTI_2021-11-07_01;67;98
HCME_A__20211124_01;0;51;0;-;MULTI_2021-11-24_01;66;97
2021-11-24T14:09:00-CME-001;3;51;0;-;MULTI_2021-11-24_01;66;97
ICME_SOLO_MOESTL_20211127_01;1;51;18;-;MULTI_2021-11-24_01;66;97
ICME_Wind_MOESTL_20211127_01;1;51;18;-;MULTI_2021-11-24_01;66;97
HCME_A__20220122_01;0;52;0;-;MULTI_2022-01-22_01;65;96
ICME_SOLO_MOESTL_20220125_01;1;52;19;-;MULTI_2022-01-22_01;65;96
ICME_STEREO_A_MOESTL_20220125_01;1;52;19;-;MULTI_2022-01-22_01;65;96
HCME_A__20220130_01;0;53;0;N17E10;MULTI_2022-01-29_01;64;95
2022-01-29T23:36:00-CME-001;3;53;0;N17E10;MULTI_2022-01-29_01;64;95
ICME_Wind_MOESTL_20220201_01;1;53;20;N17E10;MULTI_2022-01-29_01;64;95
ICME_STEREO_A_MOESTL_20220202_01;1;53;20;N17E10;MULTI_2022-01-29_01;64;95
HCME_A__20220206_01;0;54;0;S21W06;MULTI_2022-02-06_01;63;94
2022-02-06T14:09:00-CME-001;3;54;0;S21W06;MULTI_2022-02-06_01;63;94
ICME_Wind_MOESTL_20220209_01;1;54;0;S21W06;MULTI_2022-02-06_01;63;94
HCME_A__20220307_01;0;55;0;N17W28;MULTI_2022-03-07_01;62;93
2022-03-07T00:12:00-CME-001;3;55;0;N17W28;MULTI_2022-03-07_01;62;93
ICME_SOLO_MOESTL_20220308_01;1;55;21;N17W28;MULTI_2022-03-07_01;62;93
ICME_Wind_MOESTL_20220310_01;1;55;21;N17W28;MULTI_2022-03-07_01;62;93
HCME_A__20220310_01;0;56;0;N12W12;MULTI_2022-03-10_01;61;92
2022-03-10T19:23:00-CME-001;3;56;0;N12W12;MULTI_2022-03-10_01;61;92
ICME_SOLO_MOESTL_20220311_01;1;56;22;N12W12;MULTI_2022-03-10_01;61;92
ICME_Wind_MOESTL_20220313_01;1;56;22;N12W12;MULTI_2022-03-10_01;61;92
HCME_A__20220328_01;0;57;0;N12W01;MULTI_2022-03-28_01;60;91
2022-03-28T12:09:00-CME-001;3;57;0;N12W01;MULTI_2022-03-28_01;60;91
ICME_BEPI_MOESTL_20220329_01;1;57;23;N12W01;MULTI_2022-03-28_01;60;91
ICME_Wind_MOESTL_20220331_01;1;57;23;N12W01;MULTI_2022-03-28_01;60;91
